Дата,						Курс Доллара
2022-10-21T11:30:00+03:00,	,61.5018
2022-10-20T11:30:00+03:00,	,61.5905
2022-10-19T11:30:00+03:00,	,61.7032
2022-10-18T11:30:00+03:00,	,61.7634
2022-10-15T11:30:00+03:00,	,63.0558
